id,source,source_index,alteration,file_stem,image_path,description_path,annotation_path
1,gemini,34,original,gemini_034_original,images/gemini_034_original.png,descriptions/gemini_034_original.json,annotations/gemini_034_original.json
2,gemini,125,typography,gemini_125_typography,images/gemini_125_typography.png,descriptions/gemini_125_typography.json,annotations/gemini_125_typography.json
3,gemini,21,typography,gemini_021_typography,images/gemini_021_typography.png,descriptions/gemini_021_typography.json,annotations/gemini_021_typography.json
4,gdc,31,original,gdc_031_original,images/gdc_031_original.png,descriptions/gdc_031_original.json,annotations/gdc_031_original.json
5,google,146,original,google_146_original,images/google_146_original.png,descriptions/google_146_original.json,annotations/google_146_original.json
6,google,48,typography,google_048_typography,images/google_048_typography.png,descriptions/google_048_typography.json,annotations/google_048_typography.json
7,gdc,43,typography,gdc_043_typography,images/gdc_043_typography.png,descriptions/gdc_043_typography.json,annotations/gdc_043_typography.json
8,google,70,layout,google_070_layout,images/google_070_layout.png,descriptions/google_070_layout.json,annotations/google_070_layout.json
9,gemini,118,layout,gemini_118_layout,images/gemini_118_layout.png,descriptions/gemini_118_layout.json,annotations/gemini_118_layout.json
10,google,119,original,google_119_original,images/google_119_original.png,descriptions/google_119_original.json,annotations/google_119_original.json
11,gdc,180,alignment,gdc_180_alignment,images/gdc_180_alignment.png,descriptions/gdc_180_alignment.json,annotations/gdc_180_alignment.json
12,gemini,193,alignment,gemini_193_alignment,images/gemini_193_alignment.png,descriptions/gemini_193_alignment.json,annotations/gemini_193_alignment.json
13,google,80,layout,google_080_layout,images/google_080_layout.png,descriptions/google_080_layout.json,annotations/google_080_layout.json
14,gemini,20,layout,gemini_020_layout,images/gemini_020_layout.png,descriptions/gemini_020_layout.json,annotations/gemini_020_layout.json
15,google,162,typography,google_162_typography,images/google_162_typography.png,descriptions/google_162_typography.json,annotations/google_162_typography.json
16,google,4,typography,google_004_typography,images/google_004_typography.png,descriptions/google_004_typography.json,annotations/google_004_typography.json
17,gdc,176,layout,gdc_176_layout,images/gdc_176_layout.png,descriptions/gdc_176_layout.json,annotations/gdc_176_layout.json
18,gemini,190,typography,gemini_190_typography,images/gemini_190_typography.png,descriptions/gemini_190_typography.json,annotations/gemini_190_typography.json
19,gdc,149,typography,gdc_149_typography,images/gdc_149_typography.png,descriptions/gdc_149_typography.json,annotations/gdc_149_typography.json
20,gdc,112,layout,gdc_112_layout,images/gdc_112_layout.png,descriptions/gdc_112_layout.json,annotations/gdc_112_layout.json
21,gdc,115,typography,gdc_115_typography,images/gdc_115_typography.png,descriptions/gdc_115_typography.json,annotations/gdc_115_typography.json
22,gemini,121,layout,gemini_121_layout,images/gemini_121_layout.png,descriptions/gemini_121_layout.json,annotations/gemini_121_layout.json
23,google,159,original,google_159_original,images/google_159_original.png,descriptions/google_159_original.json,annotations/google_159_original.json
24,gdc,118,alignment,gdc_118_alignment,images/gdc_118_alignment.png,descriptions/gdc_118_alignment.json,annotations/gdc_118_alignment.json
25,google,56,alignment,google_056_alignment,images/google_056_alignment.png,descriptions/google_056_alignment.json,annotations/google_056_alignment.json
26,google,38,typography,google_038_typography,images/google_038_typography.png,descriptions/google_038_typography.json,annotations/google_038_typography.json
27,google,133,alignment,google_133_alignment,images/google_133_alignment.png,descriptions/google_133_alignment.json,annotations/google_133_alignment.json
28,gemini,90,alignment,gemini_090_alignment,images/gemini_090_alignment.png,descriptions/gemini_090_alignment.json,annotations/gemini_090_alignment.json
29,google,25,layout,google_025_layout,images/google_025_layout.png,descriptions/google_025_layout.json,annotations/google_025_layout.json
30,gemini,32,typography,gemini_032_typography,images/gemini_032_typography.png,descriptions/gemini_032_typography.json,annotations/gemini_032_typography.json
31,gemini,34,typography,gemini_034_typography,images/gemini_034_typography.png,descriptions/gemini_034_typography.json,annotations/gemini_034_typography.json
32,google,111,typography,google_111_typography,images/google_111_typography.png,descriptions/google_111_typography.json,annotations/google_111_typography.json
33,gemini,40,original,gemini_040_original,images/gemini_040_original.png,descriptions/gemini_040_original.json,annotations/gemini_040_original.json
34,gdc,32,original,gdc_032_original,images/gdc_032_original.png,descriptions/gdc_032_original.json,annotations/gdc_032_original.json
35,gemini,73,typography,gemini_073_typography,images/gemini_073_typography.png,descriptions/gemini_073_typography.json,annotations/gemini_073_typography.json
36,gemini,123,original,gemini_123_original,images/gemini_123_original.png,descriptions/gemini_123_original.json,annotations/gemini_123_original.json
37,gemini,173,original,gemini_173_original,images/gemini_173_original.png,descriptions/gemini_173_original.json,annotations/gemini_173_original.json
38,google,42,original,google_042_original,images/google_042_original.png,descriptions/google_042_original.json,annotations/google_042_original.json
39,google,63,layout,google_063_layout,images/google_063_layout.png,descriptions/google_063_layout.json,annotations/google_063_layout.json
40,gdc,12,original,gdc_012_original,images/gdc_012_original.png,descriptions/gdc_012_original.json,annotations/gdc_012_original.json
41,google,101,alignment,google_101_alignment,images/google_101_alignment.png,descriptions/google_101_alignment.json,annotations/google_101_alignment.json
42,gemini,60,original,gemini_060_original,images/gemini_060_original.png,descriptions/gemini_060_original.json,annotations/gemini_060_original.json
43,gdc,81,layout,gdc_081_layout,images/gdc_081_layout.png,descriptions/gdc_081_layout.json,annotations/gdc_081_layout.json
44,gdc,162,alignment,gdc_162_alignment,images/gdc_162_alignment.png,descriptions/gdc_162_alignment.json,annotations/gdc_162_alignment.json
45,gdc,61,typography,gdc_061_typography,images/gdc_061_typography.png,descriptions/gdc_061_typography.json,annotations/gdc_061_typography.json
46,gemini,95,original,gemini_095_original,images/gemini_095_original.png,descriptions/gemini_095_original.json,annotations/gemini_095_original.json
47,gemini,16,original,gemini_016_original,images/gemini_016_original.png,descriptions/gemini_016_original.json,annotations/gemini_016_original.json
48,google,55,layout,google_055_layout,images/google_055_layout.png,descriptions/google_055_layout.json,annotations/google_055_layout.json
49,gemini,132,alignment,gemini_132_alignment,images/gemini_132_alignment.png,descriptions/gemini_132_alignment.json,annotations/gemini_132_alignment.json
50,gemini,67,layout,gemini_067_layout,images/gemini_067_layout.png,descriptions/gemini_067_layout.json,annotations/gemini_067_layout.json
51,gemini,141,typography,gemini_141_typography,images/gemini_141_typography.png,descriptions/gemini_141_typography.json,annotations/gemini_141_typography.json
52,google,127,original,google_127_original,images/google_127_original.png,descriptions/google_127_original.json,annotations/google_127_original.json
53,gdc,142,original,gdc_142_original,images/gdc_142_original.png,descriptions/gdc_142_original.json,annotations/gdc_142_original.json
54,google,148,typography,google_148_typography,images/google_148_typography.png,descriptions/google_148_typography.json,annotations/google_148_typography.json
55,google,35,alignment,google_035_alignment,images/google_035_alignment.png,descriptions/google_035_alignment.json,annotations/google_035_alignment.json
56,google,102,alignment,google_102_alignment,images/google_102_alignment.png,descriptions/google_102_alignment.json,annotations/google_102_alignment.json
57,gemini,198,alignment,gemini_198_alignment,images/gemini_198_alignment.png,descriptions/gemini_198_alignment.json,annotations/gemini_198_alignment.json
58,gemini,18,alignment,gemini_018_alignment,images/gemini_018_alignment.png,descriptions/gemini_018_alignment.json,annotations/gemini_018_alignment.json
59,gdc,42,original,gdc_042_original,images/gdc_042_original.png,descriptions/gdc_042_original.json,annotations/gdc_042_original.json
60,gdc,134,original,gdc_134_original,images/gdc_134_original.png,descriptions/gdc_134_original.json,annotations/gdc_134_original.json
61,gdc,124,original,gdc_124_original,images/gdc_124_original.png,descriptions/gdc_124_original.json,annotations/gdc_124_original.json
62,gemini,143,original,gemini_143_original,images/gemini_143_original.png,descriptions/gemini_143_original.json,annotations/gemini_143_original.json
63,google,182,typography,google_182_typography,images/google_182_typography.png,descriptions/google_182_typography.json,annotations/google_182_typography.json
64,gdc,94,layout,gdc_094_layout,images/gdc_094_layout.png,descriptions/gdc_094_layout.json,annotations/gdc_094_layout.json
65,google,118,alignment,google_118_alignment,images/google_118_alignment.png,descriptions/google_118_alignment.json,annotations/google_118_alignment.json
66,gdc,30,layout,gdc_030_layout,images/gdc_030_layout.png,descriptions/gdc_030_layout.json,annotations/gdc_030_layout.json
67,gemini,40,layout,gemini_040_layout,images/gemini_040_layout.png,descriptions/gemini_040_layout.json,annotations/gemini_040_layout.json
68,gemini,110,typography,gemini_110_typography,images/gemini_110_typography.png,descriptions/gemini_110_typography.json,annotations/gemini_110_typography.json
69,gemini,188,typography,gemini_188_typography,images/gemini_188_typography.png,descriptions/gemini_188_typography.json,annotations/gemini_188_typography.json
70,gemini,89,alignment,gemini_089_alignment,images/gemini_089_alignment.png,descriptions/gemini_089_alignment.json,annotations/gemini_089_alignment.json
71,google,106,typography,google_106_typography,images/google_106_typography.png,descriptions/google_106_typography.json,annotations/google_106_typography.json
72,gdc,195,layout,gdc_195_layout,images/gdc_195_layout.png,descriptions/gdc_195_layout.json,annotations/gdc_195_layout.json
73,gemini,105,typography,gemini_105_typography,images/gemini_105_typography.png,descriptions/gemini_105_typography.json,annotations/gemini_105_typography.json
74,gdc,199,original,gdc_199_original,images/gdc_199_original.png,descriptions/gdc_199_original.json,annotations/gdc_199_original.json
75,gemini,166,layout,gemini_166_layout,images/gemini_166_layout.png,descriptions/gemini_166_layout.json,annotations/gemini_166_layout.json
76,google,191,alignment,google_191_alignment,images/google_191_alignment.png,descriptions/google_191_alignment.json,annotations/google_191_alignment.json
77,gemini,142,original,gemini_142_original,images/gemini_142_original.png,descriptions/gemini_142_original.json,annotations/gemini_142_original.json
